datetime,temp,feelslike,dew,humidity,precip,precipprob,windspeed,winddir,windgust,sealevelpressure,cloudcover,visibility,solarradiation,uvindex,PM25_Idgah_Hills,PM10_Idgah_Hills,NO_Idgah_Hills,SO2_Idgah_Hills,CO_Idgah_Hills,O3_Idgah_Hills,Benzene_Idgah_Hills,NO2_Idgah_Hills,NH3_Idgah_Hills,PM25_TT_Nagar,PM10_TT_Nagar,NO_TT_Nagar,SO2_TT_Nagar,CO_TT_Nagar,O3_TT_Nagar,NO2_TT_Nagar,NH3_TT_Nagar,PM25_Paryavaran_Parisar,PM10_Paryavaran_Parisar,NO_Paryavaran_Parisar,SO2_Paryavaran_Parisar,CO_Paryavaran_Parisar,O3_Paryavaran_Parisar,Benzene_Paryavaran_Parisar,NO2_Paryavaran_Parisar,NH3_Paryavaran_Parisar,year,month,day,hour,dayofweek,hour_sin,hour_cos,month_sin,month_cos
2024-01-01 00:00:00,63.8,63.8,59.6,86.39,0.0,0.0,6.5,98.5,8.3,1016.0,14.6,1.2,0.0,0.0,94.60954924439812,247.95608108108112,1.18,6.32,1.27,11.6,0.7,30.25,23.25,,,,,,,,,136.125,243.75,11.058757629325124,6.07,0.41,1.8,0.1,55.27,38.0,2024,1,1,0,0,0.0,1.0,0.49999999999999994,0.8660254037844387
2024-01-01 01:00:00,63.2,63.2,59.1,86.36,0.0,0.0,6.5,103.2,11.2,1016.0,8.0,1.2,0.0,0.0,94.60954924439812,247.95608108108112,0.83,6.2,1.07,26.23,0.7,27.8,22.55,,,,,,,,,135.75,231.0,11.058757629325124,5.8,0.24,2.35,0.1,48.6,32.33,2024,1,1,1,0,0.25881904510252074,0.9659258262890683,0.49999999999999994,0.8660254037844387
2024-01-01 02:00:00,62.0,62.0,60.5,95.03,0.0,0.0,2.2,360.0,11.0,1014.7,40.0,1.2,0.0,0.0,94.60954924439812,218.75,0.73,6.37,1.08,23.07,0.7,30.0,19.35,,,,,,,,,120.25,201.0,11.058757629325124,6.28,0.44,2.32,0.1,47.08,30.75,2024,1,1,2,0,0.49999999999999994,0.8660254037844387,0.49999999999999994,0.8660254037844387
2024-01-01 03:00:00,61.8,61.8,58.6,89.12,0.0,0.0,5.6,104.3,10.5,1015.0,9.7,1.2,0.0,0.0,94.60954924439812,215.0,0.93,6.87,1.02,25.1,0.7,27.07,17.5,,,,,,,,,111.75,195.5,11.058757629325124,6.42,0.38,3.3,0.1,43.75,28.12,2024,1,1,3,0,0.7071067811865476,0.7071067811865476,0.49999999999999994,0.8660254037844387
2024-01-01 04:00:00,59.1,59.1,57.6,94.97,0.0,0.0,4.7,96.1,9.4,1016.0,14.7,1.2,0.0,0.0,94.60954924439812,190.5,0.75,7.33,0.97,19.82,0.7,25.75,17.32,,,,,,,,,103.75,172.5,6.23,6.68,0.43,4.55,0.1,40.55,30.0,2024,1,1,4,0,0.8660254037844386,0.5000000000000001,0.49999999999999994,0.8660254037844387
2024-01-01 05:00:00,57.9,57.9,57.3,97.92,0.0,0.0,2.2,70.0,8.5,1016.1,45.4,0.6999999999999997,0.0,0.0,94.60954924439812,183.67,0.67,7.73,0.9,26.93,0.7,22.9,17.4,,,,,,,,,98.25,154.5,2.7,6.23,0.42,5.75,0.1,37.65,31.75,2024,1,1,5,0,0.9659258262890683,0.25881904510252074,0.49999999999999994,0.8660254037844387
2024-01-01 06:00:00,59.1,59.1,56.4,90.75,0.0,0.0,4.5,101.4,7.8,1016.0,18.3,0.6999999999999997,0.0,0.0,94.60954924439812,174.0,0.7,7.95,0.84,36.68,0.7,19.4,20.75,118.75,214.0,1.27,18.63,1.1,56.07,26.4,9.63,86.0,141.0,6.13,5.37,0.6,5.43,0.1,36.43,33.37,2024,1,1,6,0,1.0,6.123233995736766e-17,0.49999999999999994,0.8660254037844387
2024-01-01 07:00:00,58.9,58.9,56.4,91.34,0.0,0.0,4.3,108.8,7.6,1016.0,15.8,0.6999999999999997,0.0,0.0,94.60954924439812,187.5,1.0,9.12,1.01,42.75,0.7,19.93,24.0,118.75,214.0,1.27,18.63,1.1,56.07,26.4,9.63,91.25,144.25,8.98,5.7,0.8,4.1,0.1,38.18,34.3,2024,1,1,7,0,0.9659258262890683,-0.25881904510252063,0.49999999999999994,0.8660254037844387
2024-01-01 08:00:00,56.900000000000006,56.3,55.1,95.82,0.0,0.0,2.2,319.0,7.4,1018.0,100.0,0.6999999999999997,8.3,0.0,94.60954924439812,215.0,2.2,19.494999999999997,1.14,44.85,0.6,28.17,24.2,118.75,214.0,1.27,18.63,1.1,56.07,26.4,9.63,86.25,169.75,4.85,7.42,0.8,7.45,0.1,38.85,31.77,2024,1,1,8,0,0.8660254037844387,-0.4999999999999998,0.49999999999999994,0.8660254037844387
2024-01-01 09:00:00,64.4,64.4,64.4,100.0,0.0,0.0,3.4,300.0,9.8,1019.0,0.0,0.6999999999999997,128.7,1.0,94.60954924439812,247.5,2.65,19.494999999999997,1.3,49.07,0.6,32.12,26.25,118.75,214.0,1.27,18.63,1.1,56.07,26.4,9.63,101.5,191.25,3.08,14.9,0.85,34.9,0.1,44.8,30.55,2024,1,1,9,0,0.7071067811865476,-0.7071067811865475,0.49999999999999994,0.8660254037844387
