name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations,source_file,file_type,tempmax,tempmin,feelslikemax,feelslikemin,precipcover,sunrise,sunset,moonphase,description
"Bhopal, Madhya Pradesh, India",2024-01-01 00:00:00,63.8,63.8,59.6,86.39,0.0,0,,0,0.0,8.3,6.5,98.5,1016.0,14.6,,0.0,0.0,0,,Clear,clear-night,remote,Jan 2024.csv,.csv,,,,,,,,,
"Bhopal, Madhya Pradesh, India",2024-01-01 01:00:00,63.2,63.2,59.1,86.36,0.0,0,,0,0.0,11.2,6.5,103.2,1016.0,8.0,,0.0,0.0,0,,Clear,clear-night,remote,Jan 2024.csv,.csv,,,,,,,,,
"Bhopal, Madhya Pradesh, India",2024-01-01 02:00:00,62.0,62.0,60.5,95.03,0.0,0,,0,0.0,11.0,2.2,360.0,1014.7,40.0,1.2,0.0,0.0,0,,Partially cloudy,partly-cloudy-night,42667099999,Jan 2024.csv,.csv,,,,,,,,,
"Bhopal, Madhya Pradesh, India",2024-01-01 03:00:00,61.8,61.8,58.6,89.12,0.0,0,,0,0.0,10.5,5.6,104.3,1015.0,9.7,,0.0,0.0,0,,Clear,clear-night,remote,Jan 2024.csv,.csv,,,,,,,,,
"Bhopal, Madhya Pradesh, India",2024-01-01 04:00:00,59.1,59.1,57.6,94.97,0.0,0,,0,0.0,9.4,4.7,96.1,1016.0,14.7,,0.0,0.0,0,,Clear,clear-night,remote,Jan 2024.csv,.csv,,,,,,,,,
"Bhopal, Madhya Pradesh, India",2024-01-01 05:00:00,57.9,57.9,57.3,97.92,0.0,0,,0,0.0,8.5,2.2,70.0,1016.1,45.4,0.6,0.0,0.0,0,,Partially cloudy,fog,"VABP,42667099999",Jan 2024.csv,.csv,,,,,,,,,
"Bhopal, Madhya Pradesh, India",2024-01-01 06:00:00,59.1,59.1,56.4,90.75,0.0,0,,0,0.0,7.8,4.5,101.4,1016.0,18.3,,0.0,0.0,0,,Clear,clear-night,remote,Jan 2024.csv,.csv,,,,,,,,,
"Bhopal, Madhya Pradesh, India",2024-01-01 07:00:00,58.9,58.9,56.4,91.34,0.0,0,,0,0.0,7.6,4.3,108.8,1016.0,15.8,,0.0,0.0,0,,Clear,clear-night,remote,Jan 2024.csv,.csv,,,,,,,,,
"Bhopal, Madhya Pradesh, India",2024-01-01 08:00:00,56.3,56.3,55.1,95.82,0.0,0,,0,0.0,7.4,2.2,319.0,1018.0,100.0,0.6,8.3,0.0,0,,Overcast,fog,"VABP,42672099999,42667099999,42763099999",Jan 2024.csv,.csv,,,,,,,,,
"Bhopal, Madhya Pradesh, India",2024-01-01 09:00:00,64.4,64.4,64.4,100.0,0.0,0,,0,0.0,9.8,3.4,300.0,1019.0,0.0,0.6,128.7,0.5,1,,Clear,fog,"VABP,42667099999",Jan 2024.csv,.csv,,,,,,,,,
"Bhopal, Madhya Pradesh, India",2024-01-01 10:00:00,68.0,68.0,66.2,93.97,0.0,0,,0,0.0,11.2,3.4,340.0,1019.0,0.0,0.6,327.6,1.2,3,,Clear,fog,"VABP,42667099999",Jan 2024.csv,.csv,,,,,,,,,
"Bhopal, Madhya Pradesh, India",2024-01-01 11:00:00,75.3,75.3,60.6,60.23,0.0,0,,0,0.0,12.8,0.0,157.0,1016.1,50.0,0.6,497.3,1.8,5,,Partially cloudy,fog,"42667099999,42763099999",Jan 2024.csv,.csv,,,,,,,,,
"Bhopal, Madhya Pradesh, India",2024-01-01 12:00:00,73.4,73.4,68.0,83.22,0.0,0,,0,0.0,13.6,6.9,300.0,1017.0,50.0,1.2,592.3,2.1,6,,Partially cloudy,partly-cloudy-day,"VABP,42667099999",Jan 2024.csv,.csv,,,,,,,,,
